Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,46.853445861412546,0,3600.0,-1,0.060641999999999995,0.0,1,46.853445861412546,0,0.060641999999999995,SAT,,0.346,
2,1,1,46.853445861412546,0,3600.0,-1,23.842209,0.0,1,46.853445861412546,0,23.902851000000002,SAT,,0.193,
3,1,1,46.853445861412546,0,3600.0,-1,44.372634,0.0,1,46.853445861412546,0,68.275485,SAT,,0.222,
4,2,1,17.878246557899537,0,3600.0,-1,0.128154,0.0,1,17.878246557899537,0,68.403639,SAT,,0.299,
5,3,1,74.78900527045519,0,3600.0,-1,0.19017199999999998,0.0,1,74.78900527045519,0,68.593811,SAT,,0.304,
6,4,1,209.16433520454794,0,3600.0,-1,0.253249,0.0,1,209.16433520454794,0,68.84706,SAT,,0.262,
7,5,1,255.3114520524358,0,3600.0,-1,0.298336,0.0,1,255.3114520524358,0,69.145396,SAT,,0.175,
8,6,1,15.381083272117985,0,3600.0,-1,0.35539,0.0,1,15.381083272117985,0,69.500786,SAT,,0.228,
9,7,1,343.4444401390135,0,3600.0,-1,0.40845899999999996,0.0,1,343.4444401390135,0,69.909245,SAT,,0.224,
10,8,1,29.182807728663732,0,3600.0,-1,0.470861,0.0,1,29.182807728663732,0,70.380106,SAT,,0.288,
11,9,1,149.5181909544015,0,3600.0,-1,0.539048,0.0,1,149.5181909544015,0,70.91915399999999,SAT,,0.244,
12,10,1,18.12266562296923,0,3600.0,-1,0.589197,0.0,1,18.12266562296923,0,71.50835099999999,SAT,,0.146,
13,11,1,22.02980380917762,0,3600.0,-1,0.644446,0.0,1,22.02980380917762,0,72.15279699999999,SAT,,0.174,
14,12,1,138.16037989605948,0,3600.0,-1,0.695403,0.0,1,138.16037989605948,0,72.84819999999999,SAT,,0.118,
15,13,1,81.55642454331013,0,3600.0,-1,0.752006,0.0,1,81.55642454331013,0,73.60020599999999,SAT,,0.127,
16,14,1,25.187338694730265,0,3600.0,-1,0.823919,0.0,1,25.187338694730265,0,74.42412499999999,SAT,,0.323,
17,15,1,236.93305441806103,0,3600.0,-1,0.885629,0.0,1,236.93305441806103,0,75.30975399999998,SAT,,0.235,
18,16,1,23.64721826657369,0,3600.0,-1,0.938179,0.0,1,23.64721826657369,0,76.24793299999999,SAT,,0.281,
19,17,1,46.25068415866056,0,3600.0,-1,0.987632,0.0,1,46.25068415866056,0,77.235565,SAT,,0.183,
20,18,1,37.22202042047756,0,3600.0,-1,1.043738,0.0,1,37.22202042047756,0,78.279303,SAT,,0.254,
21,19,1,43.87042565125667,0,3600.0,-1,1.093537,0.0,1,43.87042565125667,0,79.37284,SAT,,0.236,
22,20,1,12.54231382022624,0,3600.0,-1,1.144507,0.0,1,12.54231382022624,0,80.517347,SAT,,0.191,
23,21,1,180.94529719269107,0,3600.0,-1,1.21127,0.0,1,180.94529719269107,0,81.728617,SAT,,0.165,
24,22,1,38.269674588997965,0,3600.0,-1,1.2692109999999999,0.0,1,38.269674588997965,0,82.997828,SAT,,0.286,
