Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,46.853445861412546,0,3600.0,-1,0.053051999999999995,0.0,1,46.853445861412546,0,0.053051999999999995,SAT,,0.614,
2,2,1,17.878246557899537,0,3600.0,-1,0.1209,0.0,1,17.878246557899537,1,0.173952,SAT,,0.385,
3,3,1,74.78900527045519,0,3600.0,-1,0.174143,0.0,1,74.78900527045519,1,0.348095,SAT,,0.224,
4,4,1,209.16433520454794,0,3600.0,-1,0.243924,0.0,1,209.16433520454794,1,0.592019,SAT,,0.403,
5,5,1,255.3114520524358,0,3600.0,-1,0.30078299999999997,0.0,1,255.3114520524358,1,0.8928019999999999,SAT,,0.432,
6,6,1,15.381083272117985,0,3600.0,-1,0.373687,0.0,1,15.381083272117985,1,1.266489,SAT,,0.468,
7,7,1,343.4444401390135,0,3600.0,-1,0.430065,0.0,1,343.4444401390135,2,1.696554,SAT,,0.434,
8,8,1,29.182807728663732,0,3600.0,-1,0.47822099999999995,0.0,1,29.182807728663732,2,2.174775,SAT,,0.212,
9,9,1,149.5181909544015,0,3600.0,-1,0.526119,0.0,1,149.5181909544015,2,2.700894,SAT,,0.226,
10,10,1,18.12266562296923,0,3600.0,-1,0.572747,0.0,1,18.12266562296923,3,3.273641,SAT,,0.24,
11,11,1,22.02980380917762,0,3600.0,-1,0.6337419999999999,0.0,1,22.02980380917762,3,3.907383,SAT,,0.44,
12,12,1,138.16037989605948,0,3600.0,-1,0.6910769999999999,0.0,1,138.16037989605948,4,4.598459999999999,SAT,,0.438,
13,13,1,81.55642454331013,0,3600.0,-1,0.7590049999999999,0.0,1,81.55642454331013,4,5.3574649999999995,SAT,,0.482,
14,14,1,25.187338694730265,0,3600.0,-1,0.8195469999999999,0.0,1,25.187338694730265,5,6.1770119999999995,SAT,,0.32,
15,15,1,236.93305441806103,0,3600.0,-1,0.8699979999999999,0.0,1,236.93305441806103,5,7.047009999999999,SAT,,0.337,
16,16,1,23.64721826657369,0,3600.0,-1,0.933703,0.0,1,23.64721826657369,6,7.980713,SAT,,0.17,
17,17,1,46.25068415866056,0,3600.0,-1,0.995803,0.0,1,46.25068415866056,6,8.976516,SAT,,0.18,
18,18,1,37.22202042047756,0,3600.0,-1,1.049179,0.0,1,37.22202042047756,7,10.025695,SAT,,0.23,
19,19,1,43.87042565125667,0,3600.0,-1,1.107178,0.0,1,43.87042565125667,7,11.132873,SAT,,0.175,
20,20,1,12.54231382022624,0,3600.0,-1,1.169969,0.0,1,12.54231382022624,8,12.302842,SAT,,0.179,
21,21,1,180.94529719269107,0,3600.0,-1,1.212661,0.0,1,180.94529719269107,8,13.515503,SAT,,0.135,
22,22,1,38.269674588997965,0,3600.0,-1,1.266569,0.0,1,38.269674588997965,9,14.782072000000001,SAT,,0.177,
23,23,1,221.62398854863653,0,3600.0,-1,1.337714,0.0,1,221.62398854863653,9,16.119786,SAT,,0.195,
24,24,1,40.02301777478813,0,3600.0,-1,1.3919139999999999,0.0,1,40.02301777478813,10,17.5117,SAT,,0.226,
25,25,1,120.29933773905985,0,3600.0,-1,1.436139,0.0,1,120.29933773905985,10,18.947839000000002,SAT,,0.159,
26,26,1,26.826662493110106,0,3600.0,-1,1.496991,0.0,1,26.826662493110106,11,20.444830000000003,SAT,,0.256,
27,27,1,166.94329382775626,0,3600.0,-1,1.555895,0.0,1,166.94329382775626,11,22.000725000000003,SAT,,0.266,
28,28,1,32.1890057240023,0,3600.0,-1,1.6030280000000001,0.0,1,32.1890057240023,12,23.603753000000005,SAT,,0.169,
29,29,1,12.156572841118724,0,3600.0,-1,1.639599,0.0,1,12.156572841118724,12,25.243352000000005,SAT,,0.131,
30,30,1,35.17329024378715,0,3600.0,-1,1.68191,0.0,1,35.17329024378715,13,26.925262000000004,SAT,,0.102,
31,31,1,43.84364028644718,0,3600.0,-1,1.720715,0.0,1,43.84364028644718,13,28.645977000000002,SAT,,0.096,
32,32,1,28.2419424042824,0,3600.0,-1,1.759071,0.0,1,28.2419424042824,14,30.405048,SAT,,0.098,
33,33,1,174.38827797121007,0,3600.0,-1,1.7918219999999998,0.0,1,174.38827797121007,14,32.196870000000004,SAT,,0.094,
34,34,1,165.04539626687435,0,3600.0,-1,1.8292519999999999,0.0,1,165.04539626687435,15,34.026122,SAT,,0.094,
35,35,1,421.48020135809287,0,3600.0,-1,1.869392,0.0,1,421.48020135809287,15,35.895514,SAT,,0.093,
36,36,1,33.01439498580346,0,3600.0,-1,1.907722,0.0,1,33.01439498580346,16,37.803236,SAT,,0.092,
37,37,1,151.63715853129145,0,3600.0,-1,1.9417,0.0,1,151.63715853129145,16,39.744935999999996,SAT,,0.091,
38,38,1,33.66003010411267,0,3600.0,-1,1.9761549999999999,0.0,1,33.66003010411267,17,41.721090999999994,SAT,,0.09,
39,39,1,25.348369991217645,0,3600.0,-1,2.011671,0.0,1,25.348369991217645,17,43.732761999999994,SAT,,0.085,
40,40,1,28.881749672236676,0,3600.0,-1,2.056095,0.0,1,28.881749672236676,18,45.78885699999999,SAT,,0.098,
41,41,1,129.78726356204885,0,3600.0,-1,2.088503,0.0,1,129.78726356204885,18,47.877359999999996,SAT,,0.086,
42,42,1,46.79712616847647,0,3600.0,-1,2.134895,0.0,1,46.79712616847647,19,50.012254999999996,SAT,,0.103,
43,43,1,26.786657513575012,0,3600.0,-1,2.180189,0.0,1,26.786657513575012,19,52.192443999999995,SAT,,0.107,
44,44,1,116.99034345535165,0,3600.0,-1,2.221509,0.0,1,116.99034345535165,20,54.41395299999999,SAT,,0.102,
45,45,1,77.41283377133003,0,3600.0,-1,2.263746,0.0,1,77.41283377133003,20,56.67769899999999,SAT,,0.104,
46,46,1,8.989656544963193,0,3600.0,-1,2.30627,0.0,1,8.989656544963193,21,58.98396899999999,SAT,,0.102,
47,47,1,229.99970501285338,0,3600.0,-1,2.347352,0.0,1,229.99970501285338,21,61.33132099999999,SAT,,0.093,
48,48,1,9.784057068501648,0,3600.0,-1,2.383989,0.0,1,9.784057068501648,22,63.71530999999999,SAT,,0.102,
49,49,1,21.75050829888813,0,3600.0,-1,2.42269,0.0,1,21.75050829888813,22,66.13799999999999,SAT,,0.106,
50,50,1,74.42818887908248,0,3600.0,-1,2.454923,0.0,1,74.42818887908248,23,68.59292299999998,SAT,,0.091,
51,51,1,422.4482681602507,0,3600.0,-1,2.496705,0.0,1,422.4482681602507,23,71.08962799999999,SAT,,0.099,
52,52,1,59.15979292282943,0,3600.0,-1,2.543519,0.0,1,59.15979292282943,24,73.633147,SAT,,0.102,
53,53,1,143.80320405909785,0,3600.0,-1,2.581322,0.0,1,143.80320405909785,24,76.214469,SAT,,0.09,
54,54,1,243.17422434194253,0,3600.0,-1,2.627534,0.0,1,243.17422434194253,25,78.84200299999999,SAT,,0.104,
55,55,1,18.075780312017628,0,3600.0,-1,2.673015,0.0,1,18.075780312017628,25,81.515018,SAT,,0.104,
56,56,1,54.38790275942892,0,3600.0,-1,2.712454,0.0,1,54.38790275942892,26,84.22747199999999,SAT,,0.098,
57,57,1,92.1053581144262,0,3600.0,-1,2.752755,0.0,1,92.1053581144262,26,86.98022699999999,SAT,,0.097,
58,58,1,54.35228009285129,0,3600.0,-1,2.792919,0.0,1,54.35228009285129,27,89.77314599999998,SAT,,0.1,
59,59,1,241.4055915284705,0,3600.0,-1,2.83986,0.0,1,241.4055915284705,27,92.61300599999998,SAT,,0.107,
60,60,1,45.11824427864781,0,3600.0,-1,2.884726,0.0,1,45.11824427864781,28,95.49773199999998,SAT,,0.105,
61,61,1,16.329603522527236,0,3600.0,-1,2.928452,0.0,1,16.329603522527236,28,98.42618399999998,SAT,,0.105,
62,62,1,13.90172353488806,0,3600.0,-1,2.969651,0.0,1,13.90172353488806,29,101.39583499999998,SAT,,0.108,
63,63,1,38.267759955919736,0,3600.0,-1,3.011055,0.0,1,38.267759955919736,29,104.40688999999998,SAT,,0.106,
64,64,1,52.723155531252694,0,3600.0,-1,3.051812,0.0,1,52.723155531252694,30,107.45870199999997,SAT,,0.095,
65,65,1,6.025413922975046,0,3600.0,-1,3.101018,0.0,1,6.025413922975046,30,110.55971999999997,SAT,,0.111,
66,66,1,28.176850000937375,0,3600.0,-1,3.143432,0.0,1,28.176850000937375,31,113.70315199999997,SAT,,0.094,
67,67,1,148.87899774734092,0,3600.0,-1,3.190568,0.0,1,148.87899774734092,31,116.89371999999997,SAT,,0.102,
68,68,1,201.92864397525068,0,3600.0,-1,3.238648,0.0,1,201.92864397525068,32,120.13236799999997,SAT,,0.117,
69,69,1,155.08383581340448,0,3600.0,-1,3.276288,0.0,1,155.08383581340448,32,123.40865599999997,SAT,,0.098,
70,70,1,28.627233662383503,0,3600.0,-1,3.31709,0.0,1,28.627233662383503,33,126.72574599999996,SAT,,0.101,
71,71,1,77.7331664682901,0,3600.0,-1,3.353505,0.0,1,77.7331664682901,33,130.07925099999997,SAT,,0.099,
72,72,1,79.46069993198276,0,3600.0,-1,3.392433,0.0,1,79.46069993198276,34,133.47168399999998,SAT,,0.093,
73,73,1,115.84252519566769,0,3600.0,-1,3.433404,0.0,1,115.84252519566769,34,136.90508799999998,SAT,,0.105,
74,74,1,54.36897773615375,0,3600.0,-1,3.493143,0.0,1,54.36897773615375,35,140.39823099999998,SAT,,0.125,
75,75,1,28.258204387874283,0,3600.0,-1,3.527707,0.0,1,28.258204387874283,35,143.92593799999997,SAT,,0.105,
76,76,1,36.79432380123761,0,3600.0,-1,3.5718829999999997,0.0,1,36.79432380123761,36,147.497821,SAT,,0.102,
77,77,1,380.45915723807013,0,3600.0,-1,3.613555,0.0,1,380.45915723807013,36,151.11137599999998,SAT,,0.102,
78,78,1,66.13039094394082,0,3600.0,-1,3.662573,0.0,1,66.13039094394082,37,154.773949,SAT,,0.111,
79,79,1,98.39621331251774,0,3600.0,-1,3.6957050000000002,0.0,1,98.39621331251774,37,158.469654,SAT,,0.094,
80,80,1,30.548555589661177,0,3600.0,-1,3.732198,0.0,1,30.548555589661177,38,162.201852,SAT,,0.096,
81,81,1,87.8893122014936,0,3600.0,-1,3.763904,0.0,1,87.8893122014936,38,165.965756,SAT,,0.099,
82,82,1,36.940597496777954,0,3600.0,-1,3.8030749999999998,0.0,1,36.940597496777954,39,169.768831,SAT,,0.102,
83,83,1,1.965494925045265,0,3600.0,-1,3.845117,0.0,1,1.965494925045265,39,173.613948,SAT,,0.095,
84,84,1,79.3397197090553,0,3600.0,-1,3.884706,0.0,1,79.3397197090553,40,177.498654,SAT,,0.098,
85,85,1,14.154101153200063,0,3600.0,-1,3.934195,0.0,1,14.154101153200063,40,181.43284899999998,SAT,,0.107,
86,86,1,122.77780328689417,0,3600.0,-1,3.973489,0.0,1,122.77780328689417,41,185.40633799999998,SAT,,0.096,
87,87,1,29.641548447357017,0,3600.0,-1,4.008575,0.0,1,29.641548447357017,41,189.41491299999998,SAT,,0.113,
88,88,1,31.981870048231244,0,3600.0,-1,4.049007,0.0,1,31.981870048231244,42,193.46391999999997,SAT,,0.101,
89,89,1,78.36221956115412,0,3600.0,-1,4.093121,0.0,1,78.36221956115412,42,197.55704099999997,SAT,,0.106,
90,90,1,84.84577360433624,0,3600.0,-1,4.131441,0.0,1,84.84577360433624,43,201.68848199999996,SAT,,0.096,
91,91,1,94.31430830751353,0,3600.0,-1,4.174257,0.0,1,94.31430830751353,43,205.86273899999998,SAT,,0.117,
92,92,1,38.58766162685396,0,3600.0,-1,4.213667,0.0,1,38.58766162685396,44,210.07640599999996,SAT,,0.101,
