1: x1='1.0', x2='-1.0', x3='1'
2: x1='-1.282050834847397', x2='-2.9554518802673857', x3='8'
3: x1='-1.7518157320978398', x2='-2.622660926329207', x3='0'
4: x1='2.536767499821508', x2='-4.730417059876421', x3='6'
5: x1='-3.377614267203244', x2='2.744796794261644', x3='5'
6: x1='3.276662065480691', x2='-2.7249290369240855', x3='6'
7: x1='0.4137409000319101', x2='-3.6352979135575527', x3='7'
8: x1='0.26932730529473936', x2='-2.6796180814173374', x3='1'
9: x1='-3.660514104267103', x2='1.8173745925293128', x3='3'
10: x1='1.3610244124942206', x2='4.164622204220475', x3='10'
11: x1='-2.840985932316408', x2='2.4462491390227274', x3='8'
12: x1='0.9179885128830918', x2='4.473544606511794', x3='10'
13: x1='1.621261982700072', x2='-2.7732917876775707', x3='2'
14: x1='0.8740020754437428', x2='4.709449422883921', x3='10'
15: x1='0.7042047721317379', x2='-1.4300988549603808', x3='5'
16: x1='0.583749408811971', x2='3.67380376741567', x3='9'
17: x1='2.815053772148964', x2='1.064659400581144', x3='7'
18: x1='4.675997928806954', x2='1.054956426531807', x3='0'
19: x1='0.8823411391889397', x2='3.6353560273050505', x3='0'
20: x1='0.5468669002655426', x2='3.443906720653258', x3='4'
21: x1='3.5921081653501084', x2='-3.1108592968800686', x3='2'
22: x1='0.513236676980692', x2='4.63075680698363', x3='0'
23: x1='-3.8752371145193996', x2='0.7352640580285446', x3='4'
24: x1='0.5087140641815839', x2='2.0100342200522103', x3='7'
25: x1='-1.6161655473826797', x2='4.831731443968531', x3='7'
26: x1='0.48457596361032973', x2='0.9857507243974597', x3='3'
27: x1='0.3116915254454202', x2='0.6544901461338837', x3='7'
28: x1='0.46161693343646526', x2='1.2656871198293826', x3='5'
29: x1='-4.381366217460636', x2='2.322949876745211', x3='3'
30: x1='0.44184599425984317', x2='4.991209875264953', x3='3'
31: x1='1.1850941672340207', x2='0.4908484678238594', x3='7'
32: x1='2.519889031380652', x2='1.054956426531807', x3='0'
33: x1='2.2651608528242493', x2='-4.991874558438441', x3='4'
34: x1='4.157564829783718', x2='1.03772486954081', x3='8'
35: x1='-1.5270273392071712', x2='-1.1132895436157417', x3='5'
36: x1='2.387840920569225', x2='2.8657721425194316', x3='0'
37: x1='-4.045355547459179', x2='-2.3917336903165887', x3='10'
38: x1='4.157564829783718', x2='1.03772486954081', x3='10'
39: x1='0.18251417508835743', x2='-0.7654200661171009', x3='3'
40: x1='-0.07187889477170994', x2='4.523365151970898', x3='10'
41: x1='0.6596238926811315', x2='2.1101701937085204', x3='4'
42: x1='-0.3005960507021488', x2='4.874919251684647', x3='10'
43: x1='3.6524358293948307', x2='-0.9791409138585845', x3='7'
44: x1='-0.5335488701659772', x2='3.645867847351802', x3='10'
45: x1='-1.0362004327374574', x2='-4.190805296103145', x3='8'
46: x1='-0.6154389966208118', x2='1.1324394536722764', x3='10'
47: x1='-3.6053820775119636', x2='3.159094978237473', x3='5'
48: x1='-0.7633524359532862', x2='2.348596133480773', x3='10'
49: x1='3.7159025105530006', x2='2.696804480443138', x3='3'
50: x1='-0.8858126409315634', x2='3.3279490628534685', x3='10'
51: x1='-1.6137717098115356', x2='2.9709151257423834', x3='3'
52: x1='-0.9507734179627434', x2='1.2865393651020884', x3='10'
53: x1='-2.4390259210646494', x2='-0.5697561776001434', x3='2'
54: x1='-0.9833433542955063', x2='3.80100897705673', x3='10'
55: x1='-3.0797583591269895', x2='2.813244265257077', x3='0'
56: x1='-1.0185886313269643', x2='4.293708616774108', x3='10'
57: x1='-2.378543693832623', x2='-4.775935581923445', x3='5'
58: x1='-1.029253469412712', x2='0.9735804971097242', x3='10'
59: x1='-4.085499360086297', x2='2.676914219094866', x3='5'
60: x1='3.7633847131912006', x2='-1.8441998515694613', x3='9'
61: x1='-4.797223004570124', x2='-4.400685393076699', x3='0'
62: x1='-1.6459082887350176', x2='4.910607116968043', x3='10'
