1: x1='1.0', x2='-1.0', x3='1'
2: x1='2.311453961656184', x2='0.49000855776817254', x3='8'
3: x1='-2.812064290180172', x2='3.0192107552509118', x3='2'
4: x1='-2.8729476006592023', x2='-2.693846714624517', x3='3'
5: x1='-3.698429437929538', x2='-2.109440548436753', x3='5'
6: x1='4.309575862948023', x2='3.0050146916221188', x3='7'
7: x1='-4.021991735546977', x2='-3.6628320350451613', x3='10'
8: x1='2.397569991123719', x2='-1.6827623924152824', x3='5'
9: x1='-1.459247437340374', x2='-2.867584039397798', x3='7'
10: x1='4.296864162943022', x2='4.374673723653704', x3='4'
11: x1='4.089142269711214', x2='-2.426485354989264', x3='1'
12: x1='-2.819096825628068', x2='0.23211203437791994', x3='10'
13: x1='1.8978302432181753', x2='-4.718590829549284', x3='8'
14: x1='3.5229027037415026', x2='-2.138776432515183', x3='7'
15: x1='-2.999410941527011', x2='-3.1451419734609223', x3='9'
16: x1='3.912965661148224', x2='-2.669140359277683', x3='1'
17: x1='0.35892061227917793', x2='0.9442410351151951', x3='7'
18: x1='2.6097908677348967', x2='-2.70494341968773', x3='6'
19: x1='-0.9123556683625447', x2='2.869703962005593', x3='6'
20: x1='3.768089055223845', x2='1.270682970876992', x3='10'
21: x1='-3.2692209734032374', x2='-0.6248574665104769', x3='6'
22: x1='4.804480252200632', x2='-2.834328435937544', x3='10'
23: x1='-4.983904454203769', x2='2.8214590512471993', x3='4'
24: x1='2.7299221209625806', x2='-2.843097224238816', x3='9'
25: x1='-0.17327421946151844', x2='-3.458981876470152', x3='6'
26: x1='3.132238576555155', x2='-2.85854542149334', x3='0'
27: x1='-2.6474025568146287', x2='-1.5853012432989741', x3='4'
28: x1='4.198301081702935', x2='-2.866979264908658', x3='7'
29: x1='3.5577956976976175', x2='3.3652632524094948', x3='9'
30: x1='-0.9940308284536217', x2='3.358017185134127', x3='1'
31: x1='-1.3234886991182107', x2='2.720809083488053', x3='0'
32: x1='4.597308738595844', x2='-2.8695476464833125', x3='1'
33: x1='-2.930508166899959', x2='-1.2563910772315854', x3='4'
34: x1='-1.3705289803783485', x2='-3.6647224465514014', x3='7'
35: x1='-4.386005944533729', x2='-4.895043738172919', x3='0'
36: x1='4.415625633223987', x2='-2.9611042816800093', x3='6'
37: x1='-1.1213081237744338', x2='-3.777501622407058', x3='0'
38: x1='4.951969682312502', x2='-3.1158832979791997', x3='2'
39: x1='1.8014513035806186', x2='-0.6363689504480643', x3='0'
40: x1='4.089142269711214', x2='-3.194229247487677', x3='1'
41: x1='-0.4477737329569038', x2='-3.3178747011071588', x3='10'
42: x1='4.083875777421158', x2='-4.85994554312296', x3='0'
43: x1='4.343304881221858', x2='-1.8298200245872556', x3='9'
44: x1='0.7999257757729525', x2='-4.901276136888989', x3='6'
45: x1='0.05357204276053906', x2='-1.6230942834322484', x3='1'
46: x1='2.177779352332938', x2='4.357685687981013', x3='3'
47: x1='-4.813836470796044', x2='2.1627366722535957', x3='9'
48: x1='2.1147290511237813', x2='4.079898295496484', x3='4'
49: x1='4.772952890937436', x2='0.26522003921939596', x3='10'
50: x1='-2.8263798953693176', x2='3.372043647590221', x3='7'
51: x1='-4.948839805553275', x2='-3.2131855740032944', x3='0'
52: x1='-2.8474032109561422', x2='4.006235863738963', x3='1'
53: x1='-3.532812526820339', x2='1.5012625187258566', x3='5'
54: x1='-2.6843503026498805', x2='-4.31426203912105', x3='1'
55: x1='4.62198613374181', x2='4.3940452381316835', x3='0'
56: x1='2.073405183392029', x2='-3.226333522753336', x3='7'
57: x1='-0.8548168641386695', x2='-1.0775843656776205', x3='3'
58: x1='-1.413330908681354', x2='2.195022602996744', x3='3'
59: x1='-2.4698228416895662', x2='-4.608271039872866', x3='4'
60: x1='-1.9038461098819273', x2='3.3130520172477933', x3='0'
61: x1='3.174521708623274', x2='-0.9011765107567218', x3='6'
