Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,46.853445861412546,0,3600.0,-1,0.060641999999999995,0.0,1,46.853445861412546,0,0.060641999999999995,SAT,,0.346,
2,2,1,17.878246557899537,0,3600.0,-1,0.128154,0.0,1,17.878246557899537,1,0.188796,SAT,,0.299,
3,3,1,74.78900527045519,0,3600.0,-1,0.19017199999999998,0.0,1,74.78900527045519,1,0.37896799999999997,SAT,,0.304,
4,4,1,209.16433520454794,0,3600.0,-1,0.253249,0.0,1,209.16433520454794,1,0.632217,SAT,,0.262,
5,5,1,255.3114520524358,0,3600.0,-1,0.298336,0.0,1,255.3114520524358,1,0.930553,SAT,,0.175,
6,6,1,15.381083272117985,0,3600.0,-1,0.35539,0.0,1,15.381083272117985,1,1.285943,SAT,,0.228,
7,7,1,343.4444401390135,0,3600.0,-1,0.40845899999999996,0.0,1,343.4444401390135,2,1.694402,SAT,,0.224,
8,8,1,29.182807728663732,0,3600.0,-1,0.470861,0.0,1,29.182807728663732,2,2.165263,SAT,,0.288,
9,9,1,149.5181909544015,0,3600.0,-1,0.539048,0.0,1,149.5181909544015,2,2.7043109999999997,SAT,,0.244,
10,10,1,18.12266562296923,0,3600.0,-1,0.589197,0.0,1,18.12266562296923,3,3.2935079999999997,SAT,,0.146,
11,11,1,22.02980380917762,0,3600.0,-1,0.644446,0.0,1,22.02980380917762,3,3.9379539999999995,SAT,,0.174,
12,12,1,138.16037989605948,0,3600.0,-1,0.695403,0.0,1,138.16037989605948,4,4.633356999999999,SAT,,0.118,
13,13,1,81.55642454331013,0,3600.0,-1,0.752006,0.0,1,81.55642454331013,4,5.385362999999999,SAT,,0.127,
